,precision,recall,f1-score,support,pipeline,classifier,vectorizer,features,preprocess_function,preprocess_function_uses_lemmatization,preprocess_function_uses_stemmanization,feature_list
macro avg,0.8164033894758866,0.8346055979643766,0.823037323037323,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.8438555288210065,0.835,0.8373005148005148,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.761744966442953,0.822463768115942,0.7909407665505227,276.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.9023904382470119,0.8645038167938931,0.8830409356725146,524.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.85,0.85,0.85,0.85,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.8320677023449825,0.8434837924549176,0.8369908511115187,800.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.8538677504746116,0.85,0.8512663773254274,800.0,"CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.6896551724137931,0.8695652173913043,0.7692307692307693,276.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.9203539823008849,0.7938931297709924,0.8524590163934426,524.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.82,0.82,0.82,0.82,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.8050045773573391,0.8317291735811483,0.8108448928121059,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.8407628928898383,0.82,0.8237452711223203,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.7407407407407407,0.7971014492753623,0.7678883071553229,276.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.8886679920477137,0.8530534351145038,0.8704965920155794,524.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.83375,0.83375,0.83375,0.83375,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.8147043663942273,0.8250774421949331,0.8191924495854511,800.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
