,precision,recall,f1-score,support,pipeline,classifier,vectorizer,features,preprocess_function,preprocess_function_uses_lemmatization,preprocess_function_uses_stemmanization,feature_list
weighted avg,0.837633090346808,0.83375,0.8350967337387908,800.0,"CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.6866096866096866,0.8731884057971014,0.7687400318979266,276.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
CRITICAL,0.9220489977728286,0.7900763358778626,0.8509763617677287,524.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
accuracy,0.81875,0.81875,0.81875,0.81875,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
macro avg,0.8043293421912576,0.831632370837482,0.8098581968328277,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
weighted avg,0.8408224354215446,0.81875,0.8226048279626471,800.0,"TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['uppercase_amount', 'comment_length'] and classifier MultinomialNB()",MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""uppercase_amount"", ""comment_length""]"
CONSPIRACY,0.7822878228782287,0.7681159420289855,0.7751371115173674,276.0,CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CRITICAL,0.8790170132325141,0.8874045801526718,0.8831908831908832,524.0,CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
accuracy,0.84625,0.84625,0.84625,0.84625,CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
macro avg,0.8306524180553714,0.8277602610908286,0.8291639973541254,800.0,CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
weighted avg,0.8456454425602857,0.84625,0.8459123319635202,800.0,CountVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CONSPIRACY,0.7468354430379747,0.855072463768116,0.7972972972972973,276.0,TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CRITICAL,0.9173553719008265,0.8473282442748091,0.8809523809523809,524.0,TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
accuracy,0.85,0.85,0.85,0.85,TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
macro avg,0.8320954074694006,0.8512003540214625,0.8391248391248392,800.0,TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
weighted avg,0.8585259964431426,0.85,0.8520913770913771,800.0,TfidfVectorizer with preprocessing function preprocess_advanced and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,False,False,"[""comment_length""]"
CONSPIRACY,0.7491039426523297,0.7572463768115942,0.7531531531531531,276.0,CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
CRITICAL,0.8714011516314779,0.8664122137404581,0.8688995215311005,524.0,CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
accuracy,0.82875,0.82875,0.82875,0.82875,CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
macro avg,0.8102525471419038,0.8118292952760262,0.8110263373421268,800.0,CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
weighted avg,0.8292086145336718,0.82875,0.8289670244407087,800.0,CountVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
CONSPIRACY,0.7278481012658228,0.8333333333333334,0.777027027027027,276.0,TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
CRITICAL,0.9049586776859504,0.8358778625954199,0.8690476190476191,524.0,TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
accuracy,0.835,0.835,0.835,0.835,TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
macro avg,0.8164033894758866,0.8346055979643766,0.823037323037323,800.0,TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
weighted avg,0.8438555288210065,0.835,0.8373005148005148,800.0,TfidfVectorizer with preprocessing function preprocess_advanced and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_advanced,True,True,"[""comment_length""]"
CONSPIRACY,0.761744966442953,0.822463768115942,0.7909407665505227,276.0,CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
CRITICAL,0.9023904382470119,0.8645038167938931,0.8830409356725146,524.0,CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
accuracy,0.85,0.85,0.85,0.85,CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
macro avg,0.8320677023449825,0.8434837924549176,0.8369908511115187,800.0,CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
weighted avg,0.8538677504746116,0.85,0.8512663773254274,800.0,CountVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
CONSPIRACY,0.6896551724137931,0.8695652173913043,0.7692307692307693,276.0,TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
CRITICAL,0.9203539823008849,0.7938931297709924,0.8524590163934426,524.0,TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
accuracy,0.82,0.82,0.82,0.82,TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
macro avg,0.8050045773573391,0.8317291735811483,0.8108448928121059,800.0,TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
weighted avg,0.8407628928898383,0.82,0.8237452711223203,800.0,TfidfVectorizer with preprocessing function preprocess_basic and no Lemmatization nor stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,False,False,"[""comment_length""]"
CONSPIRACY,0.7407407407407407,0.7971014492753623,0.7678883071553229,276.0,CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
CRITICAL,0.8886679920477137,0.8530534351145038,0.8704965920155794,524.0,CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
accuracy,0.83375,0.83375,0.83375,0.83375,CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
macro avg,0.8147043663942273,0.8250774421949331,0.8191924495854511,800.0,CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
weighted avg,0.837633090346808,0.83375,0.8350967337387908,800.0,CountVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,CountVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
CONSPIRACY,0.6866096866096866,0.8731884057971014,0.7687400318979266,276.0,TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
CRITICAL,0.9220489977728286,0.7900763358778626,0.8509763617677287,524.0,TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
accuracy,0.81875,0.81875,0.81875,0.81875,TfidfVectorizer with preprocessing function preprocess_basic and Lemmatization and stem with custom features: ['comment_length'] and classifier MultinomialNB(),MultinomialNB,TfidfVectorizer(),CombinedFeatures,preprocess_basic,True,True,"[""comment_length""]"
