epoch,train_loss,train_ppl,train_bleu,test_bleu
0,0.13754095319555315,1.1474486967007185,0.522800085107676,0.5247418690791837
1,0.06548999820547087,1.0676820585235227,0.6093100056826556,0.611803190303411
2,0.04738926197717614,1.0485300825438209,0.6578797124963889,0.6527309022718398
3,0.036927096445822524,1.0376173720863577,0.692616723405964,0.6781017449404355
4,0.02970688519591567,1.030152536736769,0.7200328002790053,0.6909556721002827
5,0.024357672644258078,1.0246567440435086,0.7417747416623204,0.7074496195148062
6,0.02037342919587716,1.0205823841348642,0.7598647562684956,0.7126129434017948
7,0.01733455285629702,1.0174856681267495,0.7724549283012108,0.7190270159089918
8,0.0149885755876234,1.0151014676117045,0.7869878428895659,0.7235862928050065
9,0.013196712083468702,1.013284172997069,0.7965572476474746,0.725879053694681
