epoch,train_loss,train_ppl,train_bleu,test_bleu
0,0.13075707328192931,1.139690886314128,0.46668119687619186,0.4627339491353448
1,0.07399766567147782,1.0768042918783147,0.5424831388844925,0.5330946055449304
2,0.05814796903358961,1.0598718123157977,0.5861911553689754,0.5739229916239628
3,0.04851386062419855,1.0497099213542294,0.6132556530628887,0.58949982955178
4,0.041556418367040895,1.0424319725020972,0.6342154694644231,0.6070781043917696
5,0.03599885185223504,1.0366546562575139,0.6536785443507933,0.6162231842835093
6,0.031428906920034055,1.031928010047248,0.6672964451049799,0.6203570548698626
7,0.027569439539130422,1.027952993211089,0.6800356830199925,0.6250580006058881
8,0.024361051006475648,1.024660205710986,0.6899808718385931,0.6223408254327008
9,0.021653154593790542,1.021889285391511,0.6987423702630162,0.6312658221753304
