epoch,train_loss,train_ppl,train_bleu,test_bleu
0,0.09407612959166696,1.0986433820056023,0.4479728167886947,0.44000755828333565
1,0.056521133789788035,1.0581489772619734,0.5211418723842821,0.5079438757503264
2,0.045643152842477726,1.0467008320889157,0.5614166938360197,0.540587441897826
3,0.03929027914178601,1.0400723511446053,0.5860582776143508,0.5556301864986909
4,0.03478002391484628,1.035391922285085,0.6025737264381793,0.5681014484628903
5,0.031184863137341014,1.0316762051591677,0.6154762205075244,0.5765275582274902
6,0.028195546642188422,1.028596803407785,0.6274683113010829,0.5786418402408723
7,0.02564232811108902,1.0259739208093868,0.636014791148459,0.5834450368579887
8,0.023469012563877643,1.023746576973453,0.6439785968177524,0.5856680533860471
9,0.021595033945531274,1.0218298942497372,0.6521098825775619,0.5853514667513696
