epoch,train_loss,train_ppl,train_bleu,test_bleu
0,0.01767439898265332,1.0178315154537938,0.45739489256061167,0.4608599634760058
1,0.011020235158956254,1.0110811816261494,0.5008167851883683,0.5033060821653206
2,0.00936980823810456,1.0094138423141437,0.5232914682939824,0.5213328251656073
3,0.008367506335665876,1.0084026117634544,0.5389805146809631,0.5406303937900069
4,0.0076680042421937945,1.0076974786752508,0.5466187896476512,0.5451128158456936
5,0.007139757890895211,1.0071653067302468,0.555141905228058,0.5526889371498448
6,0.006721424367078112,1.0067440638345717,0.5593361005225712,0.5571747998415818
7,0.006380687290423854,1.006401087241061,0.5651343510287701,0.5603061578985942
8,0.006088459737751689,1.0061070320819323,0.5701180906886542,0.5652763111078088
9,0.005840029789935726,1.0058571160090588,0.5760215271067967,0.5700542907864321
