epoch,train_loss,train_ppl,train_bleu,test_bleu
0,0.2182824553119036,1.2439383750041084,0.15591487516850197,0.15943572075837134
1,0.12590700478800063,1.1341766903768644,0.2890562509384045,0.28994358006164533
2,0.09578622881383032,1.1005237785726998,0.3412790311796329,0.3358765163533417
3,0.07846531678215111,1.0816258402470633,0.3282222648960977,0.3232311373324304
4,0.06717177200983582,1.0694791689840126,0.31316833801814775,0.3097960362751826
5,0.05938478663349232,1.0611834914135994,0.30280169627276005,0.296727374675068
6,0.05330421907431387,1.0547504715282054,0.29909821822740623,0.29637823945282044
7,0.0485719183710649,1.0497708669162904,0.3105514330362565,0.3029172582626567
8,0.04431927630600538,1.0453160462615931,0.31349096344273336,0.30434191933486704
9,0.0405490380237912,1.0413823757841367,0.3097666259588881,0.3144522019350504
