epoch,train_loss,train_ppl,train_bleu,test_bleu
0,0.10484996690441405,1.1105439795049172,0.46140854903570744,0.4571345721672703
1,0.056373442613865156,1.0579927095351862,0.5348435499647133,0.5229590529567992
2,0.04408622152992968,1.0450724587502223,0.5757003617804011,0.5580443003532567
3,0.036800236870207954,1.0374857487359024,0.60139373293597,0.576730180816202
4,0.03158559762672007,1.0320897162449898,0.6208263682851259,0.5901087283928964
5,0.027485645370164066,1.0278668603530523,0.6341307493462216,0.5964599983951661
6,0.024113294578449993,1.0244063710043676,0.649807073646905,0.598287817391772
7,0.021322639195020858,1.0215515910565143,0.6616351573100224,0.6055919486630889
8,0.01890670902018291,1.0190865725977334,0.6734342591798398,0.6079723753427024
9,0.016921744888864214,1.0170657286193487,0.6838363657114584,0.6124168653207801
