epoch,train_loss,train_ppl,train_bleu,test_bleu
0,0.11899542744634083,1.1263647679132367,0.40135781238806123,0.4007795755870911
1,0.06559029165048337,1.0677891454053166,0.4895544382162674,0.48561422640001667
2,0.05149873574591828,1.0528478552240934,0.5349368452972576,0.526366929638277
3,0.04301887835994184,1.0439576028719755,0.5662035754260886,0.5538738374514535
4,0.036951289074191915,1.0376424750814828,0.5909237657711024,0.5677633824502929
5,0.032221121771666854,1.0327458426494172,0.6107315455380083,0.5797032332020673
6,0.028341434777140823,1.0287468744235764,0.6258203315256494,0.5897989208630856
7,0.02504007120969774,1.0253562069648159,0.638414156226818,0.5982998774685327
8,0.022237823244126747,1.022486926714842,0.6513309439918606,0.5984986827753538
9,0.019811781480473883,1.0200093373107177,0.6624802581081998,0.6022368673244491
