epoch,train_loss,train_ppl,train_bleu,test_bleu
0,0.11442445810296269,1.1212279381792334,0.4101138127798567,0.40094391264818063
1,0.06375665776511318,1.0658330050166016,0.4919830455276,0.47873012646731067
2,0.050212522348618886,1.051494538720866,0.5366760415764615,0.519577820495704
3,0.04206470831101854,1.0429619648744868,0.569241938870162,0.5444334845785014
4,0.036216620176869774,1.0368804313876756,0.5927276940005521,0.5614809175343144
5,0.03158850122715008,1.0320927130254844,0.610928173037145,0.5724051389072112
6,0.02773408166291504,1.0281222515081825,0.6258558106852772,0.5795922242777569
7,0.02447209780633965,1.0247739972657552,0.6397305556189418,0.5873857999484936
8,0.02173734779986574,1.0219753251486325,0.6506245346018266,0.5883914076337653
9,0.01934744969075435,1.0195358244916286,0.663724964999664,0.5973321641970015
