epoch,train_loss,train_ppl,train_bleu,test_bleu
0,0.18964477190152537,1.2088201145088517,0.5289265544100011,0.5216985446719306
1,0.09510287664273707,1.0997719901566507,0.6112390018322985,0.6016979317649318
2,0.07067106418787852,1.0732281446296634,0.6588631602959696,0.6400539844298859
3,0.055457983363746695,1.0570246035210984,0.6939769285720236,0.6616499768418923
4,0.044698195965841556,1.0457122121150388,0.721879858195707,0.6858319686175227
5,0.03679906195059887,1.037484529774268,0.7401989019849992,0.6914937470395646
6,0.030797472883536525,1.0312766212546594,0.7582812194896693,0.7011597087587934
7,0.02613055019489089,1.0264749462308163,0.7724301490963739,0.70459305666967
8,0.02248638705678389,1.0227411115530058,0.7851303706330338,0.7116810857810344
9,0.019737806481956013,1.0199338849123318,0.7944414168838619,0.7140294843430426
