,precision,recall,f1-score,support,pipeline,classifier,vectorizer,ngram_lower_bound,ngram_upper_bound,preprocess_function
CRITICAL,0.8779527559055118,0.851145038167939,0.8643410852713178,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,TfidfVectorizer,2,2,preprocess_advanced
accuracy,0.825,0.825,0.825,0.825,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,TfidfVectorizer,2,2,preprocess_advanced
macro avg,0.8054147341171395,0.8132536785042593,0.8089311060159405,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,TfidfVectorizer,2,2,preprocess_advanced
weighted avg,0.8279015208715349,0.825,0.8261081995851075,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MultinomialNB no Lemmatization and ngram: 2, 2",MultinomialNB,TfidfVectorizer,2,2,preprocess_advanced
CONSPIRACY,0.8726415094339622,0.6702898550724637,0.7581967213114754,276.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,CountVectorizer,1,1,preprocess_advanced
CRITICAL,0.8452380952380952,0.9484732824427481,0.8938848920863309,524.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,CountVectorizer,1,1,preprocess_advanced
accuracy,0.8525,0.8525,0.8525,0.8525,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,CountVectorizer,1,1,preprocess_advanced
macro avg,0.8589398023360287,0.8093815687576059,0.8260408066989031,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,CountVectorizer,1,1,preprocess_advanced
weighted avg,0.8546922731356693,0.8525,0.8470724731690058,800.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,CountVectorizer,1,1,preprocess_advanced
CONSPIRACY,0.8392857142857143,0.6811594202898551,0.752,276.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,TfidfVectorizer,1,1,preprocess_advanced
CRITICAL,0.8472222222222222,0.9312977099236641,0.8872727272727273,524.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,TfidfVectorizer,1,1,preprocess_advanced
accuracy,0.845,0.845,0.845,0.845,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,TfidfVectorizer,1,1,preprocess_advanced
macro avg,0.8432539682539683,0.8062285651067596,0.8196363636363637,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,TfidfVectorizer,1,1,preprocess_advanced
weighted avg,0.844484126984127,0.845,0.8406036363636363,800.0,"TfidfVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 1",MLPClassifier,TfidfVectorizer,1,1,preprocess_advanced
CONSPIRACY,0.893491124260355,0.5471014492753623,0.6786516853932584,276.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,CountVectorizer,1,2,preprocess_advanced
CRITICAL,0.8019017432646592,0.9656488549618321,0.8761904761904762,524.0,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,CountVectorizer,1,2,preprocess_advanced
accuracy,0.82125,0.82125,0.82125,0.82125,"CountVectorizer with preprocessing function preprocess_advanced, classifier MLPClassifier no Lemmatization and ngram: 1, 2",MLPClassifier,CountVectorizer,1,2,preprocess_advanced
